"PLT_CN","wbp_occurances","CN","PLOT","LAT","LON","ELEV"
"248","2809437010690",3,"2809437010690",185,42.883409,-109.466383,9840
"249","2809744010690",6,"2809744010690",206,42.854748,-109.478108,9600
"250","2810087010690",7,"2810087010690",228,42.801822,-109.426821,9900
"251","2810121010690",28,"2810121010690",230,42.805388,-109.298317,10280
"252","2810176010690",12,"2810176010690",232,42.769511,-110.576606,9600
"253","2810434010690",2,"2810434010690",251,42.76201,-109.413163,9640
"254","2810473010690",8,"2810473010690",252,42.750274,-109.34748,9900
"255","2810510010690",21,"2810510010690",255,42.725385,-110.576906,10100
"256","2810844010690",1,"2810844010690",275,42.709695,-109.343672,8900
"257","2811330010690",38,"2811330010690",304,42.633512,-110.57265,9848
"258","2811878010690",31,"2811878010690",328,42.62582,-109.103228,10225
"259","2811919010690",16,"2811919010690",329,42.582186,-110.574219,9640
"260","2812379010690",47,"2812379010690",354,42.532582,-110.555073,9420
"261","2813133010690",45,"2813133010690",406,42.455517,-110.437648,9102
"262","2813783010690",5,"2813783010690",479,42.315345,-110.508067,8080
"263","2821499010690",5,"2821499010690",3,44.660379,-110.873353,8400
"264","2822932010690",1,"2822932010690",24,44.513488,-110.942893,8220
"265","2823195010690",2,"2823195010690",29,44.535385,-110.620659,8300
"266","2823264010690",5,"2823264010690",30,44.519007,-110.571692,8350
"267","2823770010690",7,"2823770010690",39,44.484451,-110.763093,8385
"268","2823834010690",5,"2823834010690",40,44.48071,-110.70275,8680
"269","2823930010690",1,"2823930010690",41,44.490409,-110.632271,8500
"270","2824382010690",1,"2824382010690",49,44.42791,-110.877649,8060
"271","2824583010690",1,"2824583010690",51,44.428631,-110.762063,8080
"272","2824678010690",1,"2824678010690",52,44.438315,-110.672808,7995
"273","2824913010690",1,"2824913010690",61,44.385604,-110.885271,8490
"274","2825001010690",6,"2825001010690",62,44.379193,-110.803689,8220
"275","2825081010690",1,"2825081010690",63,44.377245,-110.730891,8260
"276","2825379010690",1,"2825379010690",72,44.342444,-110.998262,8320
"277","2825511010690",5,"2825511010690",75,44.351268,-110.795,8260
"278","2825568010690",1,"2825568010690",76,44.333189,-110.757434,7810
"279","2826103010690",1,"2826103010690",83,44.351187,-110.311936,7760
"280","2826251010690",6,"2826251010690",86,44.29921,-110.931824,8200
"281","2826368010690",1,"2826368010690",88,44.311684,-110.812693,8590
"282","2826438010690",14,"2826438010690",89,44.298039,-110.740029,8400
"283","2827038010690",18,"2827038010690",101,44.255962,-110.889284,8590
"284","2827494010690",31,"2827494010690",112,44.244039,-110.174166,9290
"285","2827581010690",4,"2827581010690",114,44.203775,-110.931936,7760
"286","2827674010690",1,"2827674010690",116,44.203677,-110.833062,8420
"287","2827717010690",1,"2827717010690",117,44.195418,-110.74674,8325
"288","2827965010690",3,"2827965010690",123,44.215616,-110.377362,9100
"289","2828096010690",27,"2828096010690",126,44.217887,-110.168273,9800
"290","2828726010690",1,"2828726010690",137,44.173621,-110.439102,8480
"291","2828817010690",15,"2828817010690",139,44.173913,-110.326512,8830
"292","2829457010690",1,"2829457010690",149,44.128477,-110.629529,8750
"293","2829505010690",11,"2829505010690",150,44.117478,-110.573359,8850
"294","2829611010690",13,"2829611010690",153,44.113933,-110.38718,9700
"295","2829970010690",20,"2829970010690",161,44.077688,-110.880879,7960
"296","2830572010690",1,"2830572010690",171,44.081637,-110.255117,8700
"297","2830823010690",22,"2830823010690",177,44.020057,-110.873509,8480
"298","2831195010690",15,"2831195010690",184,44.034964,-110.437918,9200
"299","2831357010690",1,"2831357010690",187,44.016736,-110.243454,8600
"300","2831476010690",17,"2831476010690",189,44.033846,-110.118437,9800
"301","2831685010690",2,"2831685010690",194,43.975874,-110.822486,9400
"302","2832146010690",5,"2832146010690",205,43.9708,-110.11563,8300
"303","2832208010690",5,"2832208010690",206,43.987508,-110.065501,8740
"304","2832311010690",1,"2832311010690",208,43.950782,-110.943447,7960
"305","2832612010690",1,"2832612010690",215,43.934459,-110.511131,8048
"306","2832710010690",2,"2832710010690",217,43.932052,-110.385316,8800
"307","2832785010690",4,"2832785010690",218,43.939728,-110.310473,8622
"308","2832848010690",14,"2832848010690",221,43.94854,-110.148362,9600
"309","2833025010690",1,"2833025010690",230,43.895886,-110.54631,6880
"310","2833166010690",2,"2833166010690",233,43.90318,-110.374406,7500
"311","2833326010690",16,"2833326010690",236,43.905589,-110.185089,8670
"312","2833470010690",14,"2833470010690",238,43.891451,-110.062502,9200
"313","2833957010690",2,"2833957010690",252,43.839038,-110.195948,7320
"314","2834032010690",12,"2834032010690",254,43.851509,-110.060162,8200
"315","2834198010690",4,"2834198010690",259,43.79835,-110.743457,7520
"316","2834579010690",25,"2834579010690",268,43.80577,-110.202611,9144
"317","2834683010690",7,"2834683010690",269,43.811566,-110.132904,9380
"318","2835013010690",1,"2835013010690",282,43.756178,-110.332463,8050
"319","2835069010690",8,"2835069010690",283,43.759265,-110.249195,9200
"320","2835404010690",2,"2835404010690",295,43.716547,-110.507942,8433
"321","2835495010690",8,"2835495010690",296,43.712704,-110.454596,8303
"322","2835549010690",4,"2835549010690",297,43.72409,-110.391173,8878
"323","2835667010690",2,"2835667010690",300,43.714803,-110.198853,9570
"324","2835682010690",1,"2835682010690",301,43.721461,-110.124273,9600
"325","2836203010690",31,"2836203010690",314,43.674046,-110.299878,8820
"326","2836289010690",47,"2836289010690",315,43.677478,-110.272545,8948
"327","2836371010690",77,"2836371010690",316,43.663493,-110.200775,8800
"328","2836500010690",2,"2836500010690",317,43.680122,-110.134799,8645
"329","2836885010690",2,"2836885010690",330,43.625575,-110.325231,9000
"330","2836948010690",5,"2836948010690",331,43.610859,-110.274586,8500
"331","2837018010690",26,"2837018010690",332,43.621254,-110.212489,9184
"332","2837297010690",4,"2837297010690",343,43.579676,-110.506576,9020
"333","2838118010690",20,"2838118010690",365,43.527056,-110.13575,9482
"334","2838510010690",10,"2838510010690",373,43.502652,-110.614823,8600
"335","2838601010690",4,"2838601010690",374,43.493457,-110.561697,9300
"336","2838718010690",11,"2838718010690",378,43.501264,-110.316718,9600
"337","2839255010690",22,"2839255010690",395,43.437885,-110.260588,9410
"338","2839319010690",3,"2839319010690",396,43.434862,-110.212435,9500
"339","2839690010690",8,"2839690010690",406,43.387275,-110.58098,10630
"340","2839711010690",4,"2839711010690",407,43.388849,-110.522938,9680
"341","2839811010690",12,"2839811010690",411,43.408243,-110.272064,10040
"342","2839892010690",11,"2839892010690",414,43.38975,-110.079669,9000
"343","2840318010690",1,"2840318010690",425,43.358511,-110.391129,9200
"344","2951749010690",1,"2951749010690",439,44.797072,-112.282828,8400
